City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Erzurum,TR,40.0,41.5,31.68,94,100,4.18,light snow
149,Imbituba,BR,-28.24,-48.6703,62.46,63,0,4.12,clear sky
150,Karratha,AU,-20.7377,116.8463,80.37,45,29,19.26,scattered clouds
151,Kilindoni,TZ,-7.9139,39.6668,79.74,71,72,8.14,broken clouds
152,Nefteyugansk,RU,61.0998,72.6035,-15.81,98,26,4.97,scattered clouds
153,Namatanai,PG,-3.6667,152.4333,84.69,66,100,9.89,overcast clouds
154,Garowe,SO,8.4054,48.4845,71.83,70,5,12.24,clear sky
155,Hamilton,US,39.1834,-84.5333,32.09,75,100,10.36,overcast clouds
156,Tura,IN,25.5198,90.2201,75.33,56,0,1.43,clear sky
157,Nyurba,RU,63.2842,118.3319,5.32,92,100,3.96,overcast clouds
158,Kota Kinabalu,MY,5.9749,116.0724,87.78,74,20,4.61,few clouds
159,Norman Wells,CA,65.282,-126.8329,-2.16,84,75,0.0,broken clouds
160,Sitka,US,57.0531,-135.33,46.29,76,0,4.61,clear sky
161,San Patricio,US,28.017,-97.5169,52.84,60,100,6.64,overcast clouds
162,East London,ZA,-33.0153,27.9116,65.34,94,40,4.61,scattered clouds
163,Lhokseumawe,ID,5.1801,97.1507,83.73,73,100,4.65,overcast clouds
164,Guanare,VE,9.0418,-69.7421,68.02,100,100,2.3,overcast clouds
165,Chokurdakh,RU,70.6333,147.9167,-20.18,99,90,5.41,overcast clouds
166,Saskylakh,RU,71.9167,114.0833,-26.84,99,100,4.45,overcast clouds
167,Vila Do Maio,CV,15.1333,-23.2167,75.99,72,57,9.24,broken clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,72.61,73,58,3.02,broken clouds
169,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.87,85,35,5.23,scattered clouds
170,Emerald,AU,-23.5333,148.1667,83.34,23,72,5.23,broken clouds
171,Lorengau,PG,-2.0226,147.2712,85.3,58,100,8.68,overcast clouds
172,Yulara,AU,-25.2406,130.9889,86.43,35,23,21.47,few clouds
173,Moranbah,AU,-22.0016,148.0466,89.46,16,90,8.12,overcast clouds
174,Lahaina,US,20.8783,-156.6825,80.6,84,92,9.51,overcast clouds
175,Bandundu,CD,-3.3167,17.3667,70.39,97,100,2.73,overcast clouds
176,Hilo,US,19.7297,-155.09,75.11,91,100,1.01,heavy intensity rain
177,Vuktyl,RU,63.8567,57.3094,-16.69,94,6,4.0,clear sky
178,Namibe,AO,-15.1961,12.1522,69.15,77,99,4.74,overcast clouds
179,Lompoc,US,34.6391,-120.4579,52.79,72,0,6.91,clear sky
180,Auki,SB,-8.7676,160.7034,82.15,79,59,2.64,moderate rain
181,Belaya Gora,RU,68.5333,146.4167,-17.54,97,100,2.68,overcast clouds
182,Jalu,LY,29.0331,21.5482,60.22,40,0,10.6,clear sky
183,Cape Town,ZA,-33.9258,18.4232,64.38,68,0,14.97,clear sky
184,Poddorye,RU,57.4695,31.1156,29.23,86,100,5.5,light snow
185,Praya,CV,14.9215,-23.5087,75.74,78,20,10.36,few clouds
186,Abay,KZ,49.6311,72.8539,19.78,91,99,13.38,overcast clouds
187,Severo-Kurilsk,RU,50.6789,156.125,35.1,64,97,6.49,overcast clouds
188,Olovyannaya,RU,50.95,115.5667,31.32,72,19,15.1,few clouds
189,Bredasdorp,ZA,-34.5322,20.0403,55.26,72,100,3.22,overcast clouds
190,Lang Son,VN,21.8333,106.7333,83.1,59,39,6.58,scattered clouds
191,Ngunguru,NZ,-35.6167,174.5,68.07,66,100,14.58,overcast clouds
192,Zuwarah,LY,32.9312,12.082,66.69,37,99,16.26,overcast clouds
193,Ambon,ID,-3.6954,128.1814,80.74,89,40,4.61,scattered clouds
194,Raudeberg,NO,61.9875,5.1352,45.86,37,0,7.29,clear sky
195,Manjacaze,MZ,-24.7117,33.8828,71.1,72,0,3.76,clear sky
196,Thompson,CA,55.7435,-97.8558,14.16,85,100,13.8,light snow
197,Dzhebariki-Khaya,RU,62.2167,135.8,-26.32,91,21,0.07,few clouds
198,Owando,CG,-0.4819,15.8999,69.13,98,100,2.66,overcast clouds
199,Vao,NC,-22.6667,167.4833,76.8,81,94,10.78,overcast clouds
200,Nikolskoye,RU,59.7035,30.7861,33.78,97,98,6.82,light snow
201,Valledupar,CO,10.4631,-73.2532,80.29,78,40,9.22,scattered clouds
202,Hirara,JP,24.8,125.2833,79.07,83,75,17.27,broken clouds
203,Husavik,IS,66.0449,-17.3389,44.71,76,100,20.51,overcast clouds
204,Iqaluit,CA,63.7506,-68.5145,8.33,85,100,6.91,light snow
205,Goderich,CA,43.7501,-81.7165,35.91,100,100,2.3,snow
206,Taltal,CL,-25.4,-70.4833,61.74,84,37,1.83,scattered clouds
